domain,template,site_type,scrape_domain
https://www.taortho.com/,stinson,stinson,https://www.taortho.com/
https://figueroaorthodontics.com/,stinson,stinson,https://figueroaorthodontics.com/
https://www.hansen-orthodontics.com/,stinson,stinson,https://www.hansen-orthodontics.com/
https://mckinneybraces.com/,stinson,stinson,https://mckinneybraces.com/
https://www.harwellandcookortho.com/,stinson,stinson,https://www.harwellandcookortho.com/
https://www.nicholsortho.com/,stinson,stinson,https://www.nicholsortho.com/
https://www.steelcityorthodontics.com/,stinson,stinson,https://www.steelcityorthodontics.com/
http://www.fantasticsmiles.com/,stinson,stinson,http://www.fantasticsmiles.com/
https://www.dopazoortho.com/,stinson,stinson,https://www.dopazoortho.com/
http://goodnightortho.com/,stinson,stinson,http://goodnightortho.com/
http://lawtonorthodontics.com/,stinson,stinson,http://lawtonorthodontics.com/
https://www.amley-mcentire.com/,stinson,stinson,https://www.amley-mcentire.com/
https://www.foreversmilesortho.com/,stinson,stinson,https://www.foreversmilesortho.com/
https://www.lovethatsmile.net/,stinson,stinson,https://www.lovethatsmile.net/
https://huttasmiles.com/,stinson,stinson,https://huttasmiles.com/
http://www.bovbakerortho.com/,stinson,stinson,http://www.bovbakerortho.com/
https://www.olmstedorthodontics.com/,stinson,stinson,https://www.olmstedorthodontics.com/
https://harringtonorthodontics.com/,stinson,stinson,https://harringtonorthodontics.com/
https://damon-orthodontics.com/,stinson,stinson,https://damon-orthodontics.com/
http://www.eaganorthodontics.com/,stinson,stinson,http://www.eaganorthodontics.com/
https://andrewsbraces.com/,stinson,stinson,https://andrewsbraces.com/
https://wgmortho.com/,stinson,stinson,https://wgmortho.com/
https://rpdo.com/,stinson,stinson,https://rpdo.com/
http://www.embraceourworld.com/,stinson,stinson,http://www.embraceourworld.com/
https://advanceortho.com/,stinson,stinson,https://advanceortho.com/
https://www.cosseortho.com/,stinson,stinson,https://www.cosseortho.com/
https://www.fosterortho.com/,stinson,stinson,https://www.fosterortho.com/
http://coreilortho.com/,stinson,stinson,http://coreilortho.com/
https://drmaxfield.com/,stinson,stinson,https://drmaxfield.com/
http://www.christensenorthoslc.com/,stinson,stinson,http://www.christensenorthoslc.com/
https://www.jborthodonticsct.com/,stinson,stinson,https://www.jborthodonticsct.com/
https://www.mckennaortho.com/,stinson,stinson,https://www.mckennaortho.com/
http://www.backusbraces.com/,stinson,stinson,http://www.backusbraces.com/
https://ozorthodontics.com/,stinson,stinson,https://ozorthodontics.com/
https://dobraces.com/,stinson,stinson,https://dobraces.com/
https://www.frigoortho.com/,stinson,stinson,https://www.frigoortho.com/
https://drleavittortho.com/,stinson,stinson,https://drleavittortho.com/
http://www.gillbraces.com/,stinson,stinson,http://www.gillbraces.com/
http://sdm.rutgers.edu/,stinson,stinson,http://sdm.rutgers.edu/
http://www.oceanswestfield.com/,stinson,stinson,http://www.oceanswestfield.com/
https://alyssaortho.com/,stinson,stinson,https://alyssaortho.com/
https://arlington-orthodontics.com/,stinson,stinson,https://arlington-orthodontics.com/
https://caplesrobinsonortho.com/,stinson,stinson,https://caplesrobinsonortho.com/
https://chadwellsmiles.com/,stinson,stinson,https://chadwellsmiles.com/
https://comettiorthodontics.com/,stinson,stinson,https://comettiorthodontics.com/
https://www.conlonthompsonorthodontics.com/,stinson,stinson,https://www.conlonthompsonorthodontics.com/
https://coppercreekortho.com/,stinson,stinson,https://coppercreekortho.com/
https://currentorthodontics.com/,stinson,stinson,https://currentorthodontics.com/
https://www.derekdamonortho.com/,stinson,stinson,https://www.derekdamonortho.com/
https://dischingerteam.com/,stinson,stinson,https://dischingerteam.com/
https://downersgrovedental.com/,stinson,stinson,https://downersgrovedental.com/
https://www.dvbraces.com/,stinson,stinson,https://www.dvbraces.com/
https://www.falsafiortho.com/,stinson,stinson,https://www.falsafiortho.com/
https://www.frazierorthodontics.com/,stinson,stinson,https://www.frazierorthodontics.com/
https://www.halcombortho.com/,stinson,stinson,https://www.halcombortho.com/
https://hentscherjohnsonortho.com/,stinson,stinson,https://hentscherjohnsonortho.com/
https://hessorthodontics.com/,stinson,stinson,https://hessorthodontics.com/
https://www.impressionsorthodontics.com/,stinson,stinson,https://www.impressionsorthodontics.com/
https://lanfordmcinnisorthodontics.com/,stinson,stinson,https://lanfordmcinnisorthodontics.com/
https://www.metzorthodontics.com/,stinson,stinson,https://www.metzorthodontics.com/
https://meyerdanabraces.com/,stinson,stinson,https://meyerdanabraces.com/
https://mingaorthodontics.com/,stinson,stinson,https://mingaorthodontics.com/
https://oaklandsmilestation.com/,stinson,stinson,https://oaklandsmilestation.com/
https://orthobar.com/,stinson,stinson,https://orthobar.com/
https://orthodontistambler.com/,stinson,stinson,https://orthodontistambler.com/
https://redrockorthodontics.com/,stinson,stinson,https://redrockorthodontics.com/
https://stangfamilyortho.com/,stinson,stinson,https://stangfamilyortho.com/
https://www.strouseorthodontics.com/,stinson,stinson,https://www.strouseorthodontics.com/
https://sweetwaterortho.com/,stinson,stinson,https://sweetwaterortho.com/
https://www.transcendortho.com/,stinson,stinson,https://www.transcendortho.com/
https://vincentteamortho.com/,stinson,stinson,https://vincentteamortho.com/
https://westrockortho.com/,stinson,stinson,https://westrockortho.com/